Particles,ll,Algorithm
500,897.9809519431641,Bootstrap
500,897.7889575989927,Bootstrap
500,894.0213695246667,Bootstrap
500,892.6350106217706,Bootstrap
500,890.8123083505927,Bootstrap
500,898.4028004918348,Bootstrap
500,891.3484945479781,Bootstrap
500,899.2590984422324,Bootstrap
500,890.1207250438883,Bootstrap
500,888.8643010870461,Bootstrap
500,899.0589942855412,Bootstrap
500,893.5665161472323,Bootstrap
500,895.5686473676957,Bootstrap
500,895.9116603396833,Bootstrap
500,891.7897564831181,Bootstrap
500,892.2728199818715,Bootstrap
500,891.1017218560355,Bootstrap
500,887.3942765543751,Bootstrap
500,895.0374086327645,Bootstrap
500,893.4021419805864,Bootstrap
500,894.909563654486,Bootstrap
500,896.1209770568432,Bootstrap
500,893.7994586972903,Bootstrap
500,889.2565721486467,Bootstrap
500,898.596164812799,Bootstrap
500,895.1033210826304,Bootstrap
500,893.1900372463905,Bootstrap
500,892.7697972288753,Bootstrap
500,890.6198987186131,Bootstrap
500,894.343521047034,Bootstrap
500,896.0599222259267,Bootstrap
500,892.4167300378248,Bootstrap
500,892.5566374579006,Bootstrap
500,895.248092409558,Bootstrap
500,889.7035394953491,Bootstrap
500,894.4147858124153,Bootstrap
500,893.8063871313929,Bootstrap
500,895.6645010781001,Bootstrap
500,897.6352146535486,Bootstrap
500,902.1381414659778,Bootstrap
500,898.5477857298815,Bootstrap
500,890.833358065232,Bootstrap
500,893.8759453583424,Bootstrap
500,892.9353600336283,Bootstrap
500,892.7037746461136,Bootstrap
500,896.0423207114429,Bootstrap
500,900.4385946453311,Bootstrap
500,885.781279358832,Bootstrap
500,900.998639425123,Bootstrap
500,899.2817332990967,Bootstrap
500,899.463059030956,Bootstrap
500,888.0988445111954,Bootstrap
500,894.1294696393956,Bootstrap
500,890.5628506335212,Bootstrap
500,892.6557515849247,Bootstrap
500,896.4222490235979,Bootstrap
500,894.7968857792605,Bootstrap
500,898.0128114460631,Bootstrap
500,890.1092842975237,Bootstrap
500,888.6838929551243,Bootstrap
500,897.6044903169526,Bootstrap
500,891.2082812290078,Bootstrap
500,891.9557807154724,Bootstrap
500,894.9337931913183,Bootstrap
500,891.3750842439177,Bootstrap
500,891.2794413173282,Bootstrap
500,896.97596628858,Bootstrap
500,895.9464925882955,Bootstrap
500,896.4852005878068,Bootstrap
500,891.7136271383196,Bootstrap
500,900.0801021758028,Bootstrap
500,892.3976359788097,Bootstrap
500,891.9942189562668,Bootstrap
